x,y,z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-9.41E-07,-9.20E-07,2.51E-06
-8.95E-07,-4.31E-06,2.61E-06
1.13E-06,-6.57E-06,-1.99E-06
1.52E-06,-7.02E-06,-1.27E-05
2.11E-06,-7.21E-06,-2.15E-05
5.34E-06,-4.55E-06,-3.44E-05
9.58E-06,-2.47E-07,-5.02E-05
1.44E-05,5.61E-06,-6.69E-05
1.98E-05,1.01E-05,-8.42E-05
2.46E-05,1.68E-05,-1.04E-04
3.26E-05,2.54E-05,-1.21E-04
4.19E-05,3.61E-05,-1.41E-04
5.18E-05,4.84E-05,-1.60E-04
6.04E-05,6.14E-05,-1.78E-04
6.77E-05,7.66E-05,-1.98E-04
7.57E-05,9.10E-05,-2.22E-04
8.27E-05,1.05E-04,-2.46E-04
8.83E-05,1.18E-04,-2.74E-04
9.44E-05,1.33E-04,-3.08E-04
1.02E-04,1.46E-04,-3.43E-04
1.14E-04,0.000160377238,-3.76E-04
1.29E-04,0.000176089917,-4.16E-04
1.48E-04,0.000192102564,-0.000461023692
1.67E-04,0.000210081126,-0.000507902553
1.87E-04,0.000229777099,-0.000552295313
0.000210953512,0.000248933323,-0.000597523485
0.000232826876,0.000267737364,-0.00064652023
