Time,CorrectedGyroX,CorrectedGyroY,CorrectedGyroZ,CorrectedAccelX,CorrectedAccelY,CorrectedAccelZ,CorrectedMagX,CorrectedMagY,CorrectedMagZ
1699595100.3095658,-0.046424392610788345,0.12461283802986145,0.09040539711713791,0.007198000326752663,-1.0058900117874146,0.08680300414562225,0.09000000357627869,0.6554999947547913,-0.4440000057220459
1699595100.3136783,-0.03787253051996231,0.11483928561210632,0.08796200156211853,-0.001891000079922378,-0.9999120235443115,0.09009700268507004,0.09000000357627869,0.6554999947547913,-0.4440000057220459
1699595100.3186843,-0.04153761267662048,0.11361759155988693,0.09284878522157669,0.01067500002682209,-0.98996901512146,0.08973100036382675,0.08550000190734863,0.6570000052452087,-0.4514999985694885
1699595100.3247333,-0.045202698558568954,0.1185043677687645,0.08429691940546036,0.013542000204324722,-1.002351999282837,0.08942600339651108,0.08550000190734863,0.6570000052452087,-0.4514999985694885
1699595100.3287165,-0.042759306728839874,0.11972606182098389,0.09040539711713791,0.005917000118643045,-1.0085740089416504,0.09430600702762604,0.09149999916553497,0.6644999980926514,-0.45000001788139343
1699595100.3336906,-0.04153761267662048,0.12094775587320328,0.08918370306491852,0.006832000333815813,-1.0045480728149414,0.08899900317192078,0.09149999916553497,0.6644999980926514,-0.45000001788139343
1699595100.3387635,-0.047646086663007736,0.1172826737165451,0.09040539711713791,0.011651000007987022,-1.0077199935913086,0.09052400290966034,0.08699999749660492,0.6570000052452087,-0.453000009059906
1699595100.3438277,-0.042759306728839874,0.12339114397764206,0.09040539711713791,0.0036600001621991396,-1.00381600856781,0.0878400057554245,0.08699999749660492,0.6570000052452087,-0.453000009059906
1699595100.348828,-0.04153761267662048,0.11606097966432571,0.08918370306491852,0.008357000537216663,-0.9985700249671936,0.08759600669145584,0.08250000327825546,0.6600000262260437,-0.44850000739097595
1699595100.3538299,-0.043981000781059265,0.11483928561210632,0.08796200156211853,0.007930000312626362,-0.99698406457901,0.08460700511932373,0.08250000327825546,0.6600000262260437,-0.44850000739097595
1699595100.35889,-0.045202698558568954,0.12583453953266144,0.08307522535324097,0.010248000733554363,-1.0018640756607056,0.09113400429487228,0.09000000357627869,0.6570000052452087,-0.45000001788139343
1699595100.3639493,-0.042759306728839874,0.11361759155988693,0.08551861345767975,0.007808000314980745,-1.0063780546188354,0.0899140015244484,0.09000000357627869,0.6570000052452087,-0.45000001788139343
1699595100.3690443,-0.045202698558568954,0.1185043677687645,0.08674030750989914,0.008479000069200993,-1.0052189826965332,0.09192700684070587,0.08699999749660492,0.6570000052452087,-0.4560000002384186
1699595100.3740366,-0.045202698558568954,0.10995250940322876,0.07696675509214401,0.007625000085681677,-1.0004000663757324,0.08820600062608719,0.08699999749660492,0.6570000052452087,-0.4560000002384186
1699595100.3791687,-0.047646086663007736,0.1185043677687645,0.09284878522157669,0.008723000064492226,-0.9995460510253906,0.08899900317192078,0.09300000220537186,0.6629999876022339,-0.44699999690055847
1699595100.3842337,-0.05008947476744652,0.1172826737165451,0.09529217332601547,0.002806000178679824,-1.0004000663757324,0.0895480066537857,0.09300000220537186,0.6629999876022339,-0.44699999690055847
1699595100.389329,-0.04153761267662048,0.11361759155988693,0.0916270911693573,0.007381000090390444,-1.0117460489273071,0.09125600010156631,0.09149999916553497,0.6614999771118164,-0.4440000057220459
1699595100.3943315,-0.03420744836330414,0.12339114397764206,0.09040539711713791,0.008540000766515732,-1.0030840635299683,0.08723000437021255,0.09149999916553497,0.6614999771118164,-0.4440000057220459
1699595100.39936,-0.04031591862440109,0.1172826737165451,0.09040539711713791,0.007015000097453594,-0.9966790676116943,0.08863300085067749,0.0885000005364418,0.6570000052452087,-0.453000009059906
1699595100.4044347,-0.046424392610788345,0.11483928561210632,0.09040539711713791,0.002379000186920166,-1.0041210651397705,0.08241100609302521,0.0885000005364418,0.6570000052452087,-0.453000009059906
1699595100.4094267,-0.045202698558568954,0.11239589750766754,0.08796200156211853,0.01000400073826313,-1.0035719871520996,0.09143900126218796,0.09300000220537186,0.6585000157356262,-0.44850000739097595
1699595100.414421,-0.05008947476744652,0.12339114397764206,0.0916270911693573,0.009577000513672829,-1.0035719871520996,0.08686400204896927,0.09300000220537186,0.6585000157356262,-0.44850000739097595
1699595100.418599,-0.03787253051996231,0.11483928561210632,0.08063183724880219,-0.0008540000417269766,-1.0004609823226929,0.09424500167369843,0.08699999749660492,0.6644999980926514,-0.4455000162124634
1699595100.4236534,-0.04153761267662048,0.11239589750766754,0.0916270911693573,0.008296000771224499,-0.9997900128364563,0.0886940062046051,0.08699999749660492,0.6644999980926514,-0.4455000162124634
1699595100.4286654,-0.043981000781059265,0.1185043677687645,0.08429691940546036,0.008906000293791294,-1.002413034439087,0.08759600669145584,0.09750000387430191,0.6629999876022339,-0.4455000162124634
1699595100.4336603,-0.042759306728839874,0.1185043677687645,0.08918370306491852,0.0043920003809034824,-1.0031450986862183,0.08594900369644165,0.09750000387430191,0.6629999876022339,-0.4455000162124634
1699595100.4386935,-0.04153761267662048,0.11117420345544815,0.08796200156211853,0.005612000357359648,-1.0014979839324951,0.09131700545549393,0.09449999779462814,0.6629999876022339,-0.44850000739097595
1699595100.4436595,-0.043981000781059265,0.1172826737165451,0.08918370306491852,0.01128500048071146,-1.0008879899978638,0.08887699991464615,0.09449999779462814,0.6629999876022339,-0.44850000739097595
1699595100.4486835,-0.04153761267662048,0.11606097966432571,0.08674030750989914,0.007869000546634197,-1.0041210651397705,0.0882670059800148,0.09000000357627869,0.6675000190734863,-0.45750001072883606
