time,seconds_elapsed,z,y,x
1695200956613232400,0.315232421875,-18.059999465942383,-7.980000019073486,-27.059999465942383
1695200956623230500,0.32523046875,-18.479999542236328,-7.679999828338623,-27.299999237060547
1695200956633229300,0.335229248046875,-18.299999237060547,-8.279999732971191,-26.81999969482422
1695200956643228000,0.345227783203125,-18.479999542236328,-8.460000038146973,-27.239999771118164
1695200956653226500,0.3552265625,-18.18000030517578,-9.179999351501465,-27.239999771118164
1695200956663225300,0.365225341796875,-17.81999969482422,-9.359999656677246,-27.479999542236328
1695200956673224000,0.375223876953125,-18.059999465942383,-8.819999694824219,-27.84000015258789
1695200956683222500,0.385222412109375,-18.119998931884766,-8.460000038146973,-27.719999313354492
1695200956693221400,0.395221435546875,-18.420000076293945,-8.09999942779541,-27.35999870300293
1695200956703220000,0.405219970703125,-18.479999542236328,-8.039999961853027,-27.299999237060547
1695200956713218600,0.415218505859375,-18.779998779296875,-8.34000015258789,-27.119998931884766
1695200956723217400,0.425217529296875,-18.53999900817871,-8.760000228881836,-27.18000030517578
1695200956733216000,0.435216064453125,-18.959999084472656,-8.579999923706055,-27.299999237060547
1695200956743214600,0.445214599609375,-18.84000015258789,-8.15999984741211,-27.479999542236328
1695200956753213400,0.45521337890625,-18.299999237060547,-7.859999656677246,-27.84000015258789
1695200956763212000,0.4652119140625,-18.719999313354492,-7.919999599456787,-28.260000228881836
1695200956773211000,0.4752109375,-18.420000076293945,-8.34000015258789,-28.260000228881836
1695200956783209500,0.48520947265625,-18.299999237060547,-8.819999694824219,-28.5
1695200956793208300,0.495208251953125,-18.719999313354492,-9.539999961853027,-28.079999923706055
1695200956803207000,0.50520703125,-17.8799991607666,-9.779999732971191,-28.19999885559082
1695200956813205800,0.515205810546875,-17.579999923706055,-10.019999504089355,-28.559999465942383
1695200956823204400,0.525204345703125,-17.399999618530273,-10.260000228881836,-28.619998931884766
1695200956833203000,0.535202880859375,-17.03999900817871,-9.59999942779541,-29.15999984741211
1695200956843201800,0.545201904296875,-17.15999984741211,-9.719999313354492,-29.399999618530273
1695200956853200400,0.555200439453125,-16.979999542236328,-9.539999961853027,-29.69999885559082
1695200956863199200,0.56519921875,-16.920000076293945,-9.899999618530273,-29.939998626708984
1695200956873197800,0.57519775390625,-16.260000228881836,-9.84000015258789,-30
1695200956883196700,0.58519677734375,-16.020000457763672,-9.960000038146973,-29.939998626708984
1695200956893195300,0.5951953125,-15.899999618530273,-10.139999389648438,-30.239999771118164
1695200956903194000,0.605194091796875,-16.139999389648438,-9.84000015258789,-30.959999084472656
1695200956913192700,0.615192626953125,-16.260000228881836,-10.380000114440918,-31.260000228881836
1695200956923191600,0.625191650390625,-16.3799991607666,-10.260000228881836,-31.559999465942383
1695200956933190100,0.635190185546875,-15.960000038146973,-10.319999694824219,-31.3799991607666
1695200956943188700,0.645188720703125,-15.779999732971191,-9.899999618530273,-30.239999771118164
1695200956953187600,0.6551875,-16.31999969482422,-9.899999618530273,-29.939998626708984
1695200956963186200,0.665186279296875,-16.260000228881836,-9.300000190734863,-29.399999618530273
1695200956973185000,0.67518505859375,-16.920000076293945,-9.239999771118164,-29.219999313354492
1695200956983184000,0.685183837890625,-17.279998779296875,-9.239999771118164,-29.639999389648438
1695200956993182500,0.695182373046875,-16.979999542236328,-9.119999885559082,-30.35999870300293
1695200957003181300,0.705181396484375,-16.85999870300293,-10.019999504089355,-30.899999618530273
1695200957013180200,0.71518017578125,-16.19999885559082,-10.319999694824219,-30.959999084472656
1695200957023178800,0.7251787109375,-15.899999618530273,-10.920000076293945,-30.959999084472656
1695200957033177600,0.735177490234375,-15.65999984741211,-11.639999389648438,-31.079999923706055
1695200957043176400,0.745176513671875,-16.020000457763672,-11.819999694824219,-30.65999984741211
1695200957053175000,0.755175048828125,-16.739999771118164,-12.239999771118164,-30.479999542236328
1695200957063174000,0.765173828125,-17.279998779296875,-12.359999656677246,-30.959999084472656
1695200957073172500,0.77517236328125,-17.520000457763672,-12.059999465942383,-30.84000015258789
1695200957083171300,0.78517138671875,-17.579999923706055,-11.819999694824219,-31.439998626708984
1695200957093170200,0.795170166015625,-17.15999984741211,-11.34000015258789,-32.099998474121094
1695200957103168800,0.805168701171875,-16.799999237060547,-11.09999942779541,-32.099998474121094
1695200957113167600,0.815167724609375,-16.920000076293945,-11.039999961853027,-32.52000045776367
