time,seconds_elapsed,z,y,x
1695200956713218300,0.41521826171875,-0.3505780100822449,-0.4346678853034973,-0.612984299659729
1695200956723218400,0.425218505859375,-0.48802268505096436,-0.48414796590805054,-0.5555629730224609
1695200956733217300,0.43521728515625,-0.5802633762359619,-0.5305737257003784,-0.4266704320907593
1695200956743216600,0.445216552734375,-0.6169152855873108,-0.592881977558136,-0.26540201902389526
1695200956753215700,0.4552158203125,-0.6022545099258423,-0.6741271018981934,-0.10291185975074768
1695200956763214600,0.465214599609375,-0.5521635413169861,-0.7572047114372253,0.027202440425753593
1695200956773213400,0.47521337890625,-0.48252490162849426,-0.78408282995224,0.08889983594417572
1695200956783212300,0.48521240234375,-0.4299904704093933,-0.8305085301399231,0.06935214251279831
1695200956793211100,0.495211181640625,-0.41166451573371887,-0.9881117939949036,0.01193080935627222
1695200956803210000,0.5052099609375,-0.45381423830986023,-0.9612336754798889,0.00337869580835104
1695200956813208800,0.515208740234375,-0.5222311615943909,-0.8995363116264343,-0.03510581701993942
1695200956823207400,0.52520751953125,-0.5918697714805603,-0.8182912468910217,-0.11451829224824905
1695200956833206300,0.535206298828125,-0.6450150609016418,-0.7523177862167358,-0.22691749036312103
1695200956843205000,0.545205078125,-0.667006254196167,-0.7022268772125244,-0.3503122925758362
1695200956853204000,0.555203857421875,-0.6431824564933777,-0.6704618334770203,-0.44255295395851135
1695200956863202600,0.56520263671875,-0.597367525100708,-0.6619096994400024,-0.46759840846061707
1695200956873201400,0.575201416015625,-0.5772089958190918,-0.5794429183006287,-0.45904630422592163
1695200956883200300,0.5852001953125,-0.5894263386726379,-0.4041246473789215,-0.461489737033844
1695200956893199000,0.59519921875,-0.6260782480239868,-0.08097690343856812,-0.5164676308631897
1695200956903197700,0.60519775390625,-0.6437933444976807,0.11144565045833588,-0.5616716146469116
1695200956913196500,0.615196533203125,-0.6401281356811523,0.24339252710342407,-0.594658374786377
1695200956923195400,0.6251953125,-0.6101957559585571,0.2659945487976074,-0.623369038105011
1695200956933194000,0.635194091796875,-0.559493899345398,0.17741909623146057,-0.6465818881988525
1695200956943192800,0.64519287109375,-0.4800814390182495,0.014318070374429226,-0.6490253806114197
1695200956953191400,0.65519140625,-0.4183840751647949,-0.23063889145851135,-0.6080974340438843
1695200956963190300,0.665190185546875,-0.42815789580345154,-0.5006413459777832,-0.5073046684265137
1695200956973189000,0.675189208984375,-0.48741182684898376,-0.680235743522644,-0.38635334372520447
1695200956983188000,0.68518798828125,-0.5478875041007996,-0.7187201976776123,-0.30022135376930237
1695200956993186800,0.695186767578125,-0.6297433972358704,-0.6099861860275269,-0.2989996075630188
1695200957003185400,0.705185302734375,-0.6511237025260925,-0.42245060205459595,-0.37841206789016724
1695200957013184300,0.715184326171875,-0.6309651732444763,-0.24591052532196045,-0.5024177432060242
1695200957023183000,0.72518310546875,-0.5875937342643738,-0.1921543926000595,-0.6368080973625183
1695200957033181700,0.735181640625,-0.5094029903411865,-0.22636283934116364,-0.7418769001960754
1695200957043180500,0.7451806640625,-0.4202166497707367,-0.3253229856491089,-0.794411301612854
1695200957053179400,0.755179443359375,-0.3298085927963257,-0.4255049228668213,-0.7876917719841003
1695200957063178000,0.765177978515625,-0.26688945293426514,-0.49819788336753845,-0.7101119160652161
1695200957073176800,0.7751767578125,-0.21496592462062836,-0.5098043084144592,-0.5592281818389893
1695200957083175400,0.785175537109375,-0.10867536813020706,-0.45116126537323,-0.419950932264328
1695200957093174300,0.79517431640625,0.1301729381084442,-0.2941688895225525,-0.4743179380893707
1695200957103173000,0.805173095703125,0.20042243599891663,-0.23002803325653076,-0.661853551864624
1695200957113171700,0.815171630859375,0.13505986332893372,-0.28683850169181824,-0.8286197781562805
1695200957123170600,0.825170654296875,0.09718621522188187,-0.31249484419822693,-0.8988692760467529
1695200957133169400,0.83516943359375,0.10512746125459671,-0.17016324400901794,-0.9184169173240662
1695200957143168000,0.84516796875,0.08924496918916702,0.07235026359558105,-0.936742901802063
1695200957153166800,0.855166748046875,0.06664295494556427,0.34052011370658875,-0.9788926243782043
1695200957163165400,0.86516552734375,0.1203990951180458,0.35518088936805725,-1.0576941967010498
1695200957173164300,0.875164306640625,0.11001438647508621,0.09128709137439728,-1.1297763586044312
1695200957183163000,0.885162841796875,0.008610757067799568,-0.2782863676548004,-1.138939380645752
1695200957193161700,0.89516162109375,-0.1874769926071167,-0.6875661015510559,-1.0558617115020752
1695200957203160600,0.90516064453125,-0.38173213601112366,-0.8555540442466736,-1.0302053689956665
1695200957213159200,0.9151591796875,-0.6169152855873108,-0.9899443984031677,-1.0088250637054443
1695200957223158000,0.925157958984375,-0.7513055801391602,-1.1499910354614258,-0.9239147305488586
1695200957233156900,0.935156982421875,-0.7030472159385681,-1.430989146232605,-0.7711984515190125
1695200957243155500,0.945155517578125,-0.533226728439331,-1.7162631750106812,-0.5671694278717041
1695200957253154300,0.955154296875,-0.3334737718105316,-2.1402037143707275,-0.37780120968818665
1695200957263153000,0.96515283203125,-0.22718322277069092,-2.661271810531616,-0.2183653861284256
1695200957273151700,0.97515185546875,-0.192363902926445,-3.2599196434020996,-0.09069454669952393
1695200957283150600,0.985150634765625,-0.14532728493213654,-3.9465322494506836,-0.00822774413973093
1695200957293149200,0.995149169921875,-0.09096027910709381,-4.820069313049316,0.00398956099525094
1695200957303147800,1.005147705078125,-0.21863111853599548,-5.1719279289245605,-0.049155715852975845
1695200957313146600,1.015146728515625,-0.34202590584754944,-5.461478233337402,-0.16949616372585297
